id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined
2,pbkdf2_sha256$dummyhashedpassword,2025-07-10 10:01:18.543642+00,FALSE,user2,Name2,Surname2,user2@lab.com,FALSE,TRUE,2025-12-12 04:52:21.924016+00
3,pbkdf2_sha256$dummyhashedpassword,2025-07-20 10:24:27.340966+00,TRUE,user3,Name3,Surname3,user3@lab.com,TRUE,TRUE,2025-06-08 10:52:36.543683+00
4,pbkdf2_sha256$dummyhashedpassword,2025-09-28 10:48:12.965854+00,TRUE,user4,Name4,Surname4,user4@lab.com,FALSE,TRUE,2025-06-13 14:55:42.910932+00
5,pbkdf2_sha256$dummyhashedpassword,2025-05-04 20:22:37.129550+00,TRUE,user5,Name5,Surname5,user5@lab.com,FALSE,TRUE,2025-03-31 08:37:17.460465+00
6,pbkdf2_sha256$dummyhashedpassword,2025-12-08 10:47:40.155764+00,FALSE,user6,Name6,Surname6,user6@lab.com,TRUE,TRUE,2025-02-22 03:53:35.509246+00
7,pbkdf2_sha256$dummyhashedpassword,2025-07-30 14:35:01.026690+00,FALSE,user7,Name7,Surname7,user7@lab.com,FALSE,TRUE,2025-07-11 00:50:15.080407+00
8,pbkdf2_sha256$dummyhashedpassword,2025-11-06 10:42:44.049341+00,FALSE,user8,Name8,Surname8,user8@lab.com,FALSE,TRUE,2025-05-02 21:59:05.284158+00
9,pbkdf2_sha256$dummyhashedpassword,2025-08-24 07:24:45.710555+00,TRUE,user9,Name9,Surname9,user9@lab.com,TRUE,TRUE,2025-12-30 00:37:10.981491+00
10,pbkdf2_sha256$dummyhashedpassword,2025-12-08 03:07:38.299939+00,FALSE,user10,Name10,Surname10,user10@lab.com,FALSE,TRUE,2025-04-11 18:21:25.565276+00
11,pbkdf2_sha256$dummyhashedpassword,2025-09-07 02:18:40.767285+00,TRUE,user11,Name11,Surname11,user11@lab.com,TRUE,TRUE,2025-03-21 14:11:39.782328+00
12,pbkdf2_sha256$dummyhashedpassword,2025-11-27 19:59:44.421213+00,FALSE,user12,Name12,Surname12,user12@lab.com,FALSE,TRUE,2025-12-06 11:32:52.983778+00
